slug,name,category,tvl,tvl_change_1d,tvl_change_7d,tvl_change_30d,tvl_change_90d,volume_24h,volume_7d,volume_30d,volume_change_7d,volume_change_30d,aggregator_volume_24h,aggregator_volume_30d,fees_24h,fees_30d,fees_change_30d,revenue_24h,revenue_30d,mcap,capital_turnover,momentum
solvbtc,SolvBTC,Bridge,2760652.7467956217,-0.3569937702323642,13.623926915576206,,,,,,,,,,0.0,0.0,,0.0,0.0,,,
vnx,VNX,RWA,2719857.911418036,0.17308736806351988,0.3907049845754784,,,,,,,,,,,,,,,,,
phase-stake,Phase Stake,Liquid Staking,2672123.1731333337,0.7661129211242041,49.309082078998216,,,,,,,,,,,,,,,,,
nirvana-v2,Nirvana V2,Reserve Currency,2551998.1332190335,-0.010020536973073035,-0.5025590579455184,,,,,,,,,,,,,,,,,
adrastea-restaking-operator,Adrastea Restaking Operator,Staking Pool,2504996.880052169,-1.0525099213490847,6.900590094392811,,,,,,,,,,,,,,,,,
oro-finance,Oro Finance,RWA,2491538.021074872,0.08512897763826288,0.8753550216436139,,,,,,,,,,,,,,,,,
international-stable-currency,International Stable Currency,RWA,2405129.112626825,-3.029873560191504,-0.14882607120495095,,,,,,,,,,,,,,,,,
pico-staked-sol,Pico Staked SOL,Liquid Staking,2290738.5540899727,-0.2603789467483182,21.438817615988384,,,,,,,,,,397.0,8001.62,20.38,12.0,190.78999999999996,,,66.8
nx-finance,NX Finance,Yield Aggregator,2269292.8212697473,-0.13982889949730293,7.513272518042385,,,,,,,,,,,,,,,288510.61678552546,,
katana,Katana,Options Vault,2215451.8504166896,0.3797335432245603,20.014010526279222,,,,,,,,,,,,,,,,,
privacy-cash,Privacy Cash,Privacy,2114549.492052949,0.670707568071677,11.476510341431805,,,,,,,,,,6582.0,109791.0,82.01,6582.0,109791.0,,,76.7
upshift,Upshift,Onchain Capital Allocator,1796822.2047141597,0.24004271018738166,3.9709278140466893,,,,,,,,,,,,,,,,,
solomon-usdv,Solomon USDv,Basis Trading,1778669.6337353506,39.33143523043458,17.48449897223459,,,,,,,,,,0.0,2690.0,,0.0,0.0,10116250.325059008,,
piggybank,PiggyBank,Yield,1754316.6522096815,-0.5367707010867804,4.040967681105883,,,,,,,,,,,,,,,,,
pascal,Pascal,Prediction Market,1575197.2956444803,0.12235562810873546,53.235796323766124,,,,,,,,,,,,,,,,,
hubble,Hubble,CDP,1561793.1233640849,0.13124978892764716,5.810089079255889,,,,,,,,,,,,,,,161415.62691953682,,
japan-staked-sol,Japan Staked SOL,Liquid Staking,1512055.463032879,-0.2815518554751151,,,,,,,,,,,,,,,,,,
n1-exchange-bridge,N1 Exchange Bridge,Bridge,1485864.6040071175,-0.0342380531684654,-10.370476496467504,,,,,,,,,,,,,,,,,
rise.rich,Rise.rich,Launchpad,1467735.4606144673,-0.21992900119992953,17.259733090516576,,,48975.0,249944.0,3036967.0,5.47,-38.61,,,1210.0,69595.0,-24.15,908.0,52197.0,,2.0691514796055785,44.2
laine-sol,Laine SOL,Liquid Staking,1403147.502278699,0.9234197883507989,20.04051084288119,,,,,,,,,,243.0,4920.0,23.43,0.0,0.0,,,67.3
larix,Larix,Lending,1331929.1523289927,0.36780741052069743,16.992928867328416,,,,,,,,,,,,,,,0.0,,
jupiter-offerbook,Jupiter Offerbook,Lending,1321679.7634682131,-5.957804918772936,10.498976126701436,,,,,,,,,,139.0,3745.0,-13.15,139.0,3745.0,,,48.9
starke-staked-sol,Starke Staked SOL,Liquid Staking,1280846.8702004892,0.2707247365495675,21.410883316278444,,,,,,,,,,234.0,4702.0599999999995,25.5,7.94,106.53999999999999,,,68.6
openbook,OpenBook,Dexs,1154959.0264076267,0.1293030150619785,3.3096393327812734,,,,,0.0,,,,,,,,,,,,
defituna-lending,DefiTuna Lending,Lending,1146730.4123616691,1.0491228083560884,17.012873541878392,,,,,,,,,,,,,,,,,
atrix,Atrix,Dexs,1117091.1711415688,-0.26279840559658396,8.443280444723754,,,,,,,,,,,,,,,,,
parcl-v3,Parcl V3,Derivatives,1087381.6827855092,-0.019663441933943204,-0.1818656925166522,,,,,,,,,,,0.0,,,0.0,,,
